participant_id,condition,language,current_phase,donation_decision,donation_config,transparency1,transparency2,control1,control2,risk_traceability,risk_misuse,trust1,attention_check,age,gender,primary_language,education,eligible_to_vote_ch,open_feedback
15,D,de,chatbot,,,,,,,,,,,,,,,,
16,C,en-GB,chatbot,,,,,,,,,,,,,,,,
17,B,en,chatbot,,,,,,,,,,,,,,,,
18,C,en,consent,,,,,,,,,,,,,,,,
19,A,en,consent,,,,,,,,,,,,,,,,
20,D,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'swiss-or-eu', 'retention': 'indefinite'}",5.0,5.0,5.0,5.0,5.0,5.0,5.0,voting,25-34,male,it,university,eligible,I think it is important to help research of open source models
21,B,en-GB,complete,1.0,,6.0,6.0,6.0,6.0,1.0,1.0,6.0,voting,45-54,female,en,university,not-eligible,Progress in ai and data protection processes 
22,A,de,complete,1.0,,6.0,6.0,6.0,6.0,1.0,1.0,6.0,voting,55-64,male,de,university,eligible,Qualität eines souveränen Chatbots in Bezug auf die Schweiz
23,D,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'no-preference', 'retention': 'until-fulfilled'}",5.0,6.0,5.0,5.0,3.0,2.0,6.0,voting,35-44,female,other,university,not-eligible,
24,C,de,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",5.0,5.0,5.0,5.0,2.0,3.0,4.0,voting,45-54,non-binary,de,university,not-eligible,
25,D,en-US,chatbot,,,,,,,,,,,,,,,,
26,A,en-GB,consent,,,,,,,,,,,,,,,,
27,B,en-US,complete,1.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,voting,35-44,female,other,university,not-eligible,
28,C,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'until-fulfilled'}",6.0,6.0,6.0,6.0,4.0,4.0,1.0,voting,35-44,female,de,university,not-eligible,The chat was not important / didn't contain information that I consider to be of personal nature. So the donation choices didn't matter to me.
29,D,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,6.0,6.0,6.0,1.0,2.0,5.0,voting,45-54,female,de,university,eligible,my indifference about data and opinions that i anyway share on social media
30,B,de-DE,complete,1.0,,4.0,3.0,4.0,3.0,4.0,4.0,6.0,voting,35-44,prefer-not-say,de,university,not-eligible,
31,C,de-DE,chatbot,,,,,,,,,,,,,,,,
32,A,en-US,chatbot,,,,,,,,,,,,,,,,
33,C,en-US,consent,,,,,,,,,,,,,,,,
34,B,de,complete,1.0,,4.0,4.0,4.0,4.0,2.0,2.0,3.0,voting,35-44,female,de,applied-sciences,eligible,"ich würde lieber etwas sagen, was ich vom chat halte. ich bin sehr besorgt! "
35,A,de-DE,chatbot,,,,,,,,,,,,,,,,
36,D,de,complete,1.0,"{'scope': 'topics-only', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'indefinite'}",5.0,5.0,5.0,5.0,2.0,4.0,5.0,voting,45-54,male,de,university,eligible,
37,D,en-CH,consent,,,,,,,,,,,,,,,,
38,A,de,complete,1.0,,4.0,2.0,6.0,6.0,1.0,1.0,6.0,voting,45-54,male,de,university,eligible,"- Persönlicher Kontakt zu Studiendurchführenden
- Ich unterstütze ein sinnvolles Projekt
- Mir wurde eine einfache Wahlmöglichkeit gegeben"
39,B,en-US,complete,1.0,,5.0,4.0,3.0,3.0,4.0,5.0,2.0,voting,45-54,male,de,vocational,not-eligible,
40,C,de-DE,complete,1.0,"{'scope': 'topics-only', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': '1year'}",4.0,4.0,4.0,4.0,2.0,2.0,5.0,voting,18-24,male,de,vocational,eligible,
41,B,en-GB,complete,1.0,,2.0,2.0,2.0,5.0,2.0,5.0,5.0,voting,25-34,male,fr,university,eligible,That it is handled by institutions that I trust. But I found the documentation about the usage of my data very sparse. I'm not 100% sure I would have donated my conversation if it were a true donation.
42,A,de-CH,complete,0.0,,6.0,3.0,1.0,1.0,6.0,6.0,1.0,voting,45-54,non-binary,de,university,not-eligible,
43,C,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': 'indefinite'}",4.0,5.0,4.0,5.0,3.0,4.0,3.0,voting,18-24,male,de,university,eligible,
44,D,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': '1year'}",5.0,5.0,5.0,5.0,3.0,2.0,3.0,voting,45-54,female,en,university,eligible,"The fact that I could choose how my data was being used, i.e. for academic or commercial use, and the retention period for my donated data"
45,D,de,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",5.0,6.0,4.0,4.0,6.0,6.0,6.0,voting,55-64,female,de,university,eligible,Forschungszwecke
46,B,en-GB,chatbot,,,,,,,,,,,,,,,,
47,A,en-GB,complete,1.0,,3.0,2.0,3.0,5.0,2.0,2.0,6.0,voting,35-44,female,de,university,not-eligible,"I think what matters for data donation is that you 1) can opt out 2) let people know they help you improve the system 3) let people know their data is not published and by default anonymized (no personal data stored at all with the questions) 4) emphasize what part is used ( the first questions, all follow up questions, then metadata  …)"
48,C,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,4.0,6.0,3.0,5.0,6.0,6.0,voting,25-34,male,de,university,eligible,"The entity using the data, ie. who will be using it.
Exp. I trust the researchers integrity and desicion making so I am ok with giving up some control.
If it was an entity I did not trust the same I want more control."
49,D,de-DE,complete,0.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': 'until-fulfilled'}",4.0,5.0,3.0,4.0,6.0,6.0,4.0,voting,35-44,male,de,university,not-eligible,Unklarheit ob es um die Interaktion in dieser Umfrage oder um die Bereitschaft zum Datenteilen im Allgemeinen geht.
50,C,de,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': '6months'}",6.0,6.0,6.0,6.0,2.0,5.0,5.0,voting,45-54,male,de,university,eligible,"Verbesserung von Instrumenten, die die freie demokratische Willensbildung fördern."
51,B,en-US,complete,1.0,,6.0,6.0,6.0,6.0,4.0,4.0,5.0,voting,45-54,male,en,university,not-eligible,This thing is inevitable so better help it develop in a good direction
52,A,en-US,complete,1.0,,4.0,6.0,6.0,6.0,1.0,5.0,5.0,voting,25-34,male,de,applied-sciences,eligible,
53,C,en-US,chatbot,,,,,,,,,,,,,,,,
54,D,de-CH,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",5.0,4.0,5.0,5.0,5.0,5.0,4.0,voting,45-54,prefer-not-say,de,prefer-not-say,eligible,
55,A,en-US,chatbot,,,,,,,,,,,,,,,,
56,B,en,complete,1.0,,6.0,6.0,6.0,6.0,4.0,1.0,4.0,voting,35-44,male,other,university,not-eligible,Improving the quality of Swiss AI models for national sovereignty
57,C,fr,chatbot,,,,,,,,,,,,,,,,
58,A,de-CH,complete,1.0,,6.0,6.0,5.0,5.0,1.0,2.0,5.0,voting,35-44,female,de,applied-sciences,eligible,
59,D,en-GB,complete,1.0,"{'scope': 'topics-only', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': 'until-fulfilled'}",6.0,6.0,6.0,6.0,1.0,1.0,6.0,voting,25-34,female,it,university,not-eligible,"Contribute to make a good
Use of AI tools. I can see the value for civic use. "
60,B,en-GB,complete,1.0,,5.0,4.0,4.0,4.0,2.0,1.0,5.0,voting,55-64,male,de,applied-sciences,eligible,The questions I asked do not reveal anything about myself nor could be misused for any purposes 
61,A,fr-CH,complete,1.0,,6.0,6.0,6.0,6.0,6.0,5.0,6.0,voting,35-44,female,fr,university,eligible,Améliorer chatbot et Apertus pour une Suisse souveraine de ses data's et indépendante en technologie AI
62,B,en-GB,chatbot,,,,,,,,,,,,,,,,
63,C,en-US,chatbot,,,,,,,,,,,,,,,,
64,D,de,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,6.0,5.0,6.0,1.0,1.0,4.0,voting,45-54,female,de,university,eligible,Transparenz über die Verwendung.
65,A,de-DE,complete,0.0,,1.0,1.0,1.0,2.0,5.0,4.0,1.0,voting,25-34,male,de,university,eligible,
66,C,en-US,chatbot,,,,,,,,,,,,,,,,
67,D,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,6.0,6.0,6.0,4.0,4.0,4.0,voting,45-54,male,de,university,eligible,
68,B,en-GB,complete,1.0,,6.0,6.0,6.0,6.0,2.0,2.0,5.0,voting,45-54,male,de,university,eligible,
69,D,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': '1year'}",5.0,6.0,5.0,4.0,2.0,1.0,3.0,voting,35-44,female,fr,university,not-eligible,
70,B,de,complete,1.0,,6.0,6.0,6.0,6.0,2.0,2.0,5.0,voting,65+,female,de,university,eligible,"KI hat grosses Potential, es wäre sehr schade (und nicht gescheit), dies nicht für demokratische Zwecke einzusetzen.  Voraussetzung für die Nutzung ist aber, dass dies unter verlässlicher Kontrolle von vertrauenswürdigen Organisationen, Menschen und Daten geschieht - soweit dies möglich ist."
71,A,de-DE,complete,1.0,,5.0,6.0,4.0,5.0,5.0,5.0,6.0,voting,45-54,male,de,applied-sciences,eligible,Vertrauen in die Seriosität der Forschungs-Institutionen und damit die Einbettung dieser Arbeit.
72,C,en-US,chatbot,,,,,,,,,,,,,,,,
73,C,en-US,chatbot,,,,,,,,,,,,,,,,
74,A,en-US,complete,1.0,,6.0,6.0,6.0,6.0,4.0,4.0,1.0,voting,18-24,male,fr,mandatory,eligible,
75,B,de-DE,complete,1.0,,5.0,5.0,4.0,4.0,2.0,3.0,4.0,voting,25-34,female,de,applied-sciences,eligible,Das es sich um Forschung zu Volksabstimmungen an öffentlichen Universitäten handelt – keine privatwirtschaftliches Unternehmen
76,D,en,chatbot,,,,,,,,,,,,,,,,
77,A,en-GB,complete,1.0,,2.0,3.0,3.0,5.0,1.0,1.0,4.0,voting,25-34,female,it,university,eligible,I trust research :)
78,C,fr-FR,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': '1year'}",4.0,4.0,3.0,5.0,3.0,3.0,4.0,voting,18-24,male,fr,university,not-eligible,"Le fait que les données soient anonymisées, que je puisse choisir le temps et le lieu de stockage de celles-ci et que mes données servent pour une étude :) "
79,D,en,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'swiss-or-eu', 'retention': 'until-fulfilled'}",4.0,2.0,5.0,5.0,1.0,5.0,4.0,voting,45-54,male,fr,university,eligible," - who i can donate my data to
- where may data are being stored
- if my data are anonymised
- if i can delete my data afterwards "
80,B,de-DE,chatbot,,,,,,,,,,,,,,,,
81,B,en-GB,complete,1.0,,2.0,2.0,6.0,6.0,3.0,4.0,5.0,voting,35-44,female,de,university,eligible,I would love an eays way through LLMs to understand the ballot decisions and form my decision based on uninfluenced and objective data.
82,D,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'no-preference', 'retention': '1year'}",6.0,6.0,5.0,4.0,2.0,2.0,4.0,voting,25-34,female,de,university,eligible,
83,A,de-DE,complete,0.0,,6.0,6.0,5.0,4.0,2.0,5.0,5.0,voting,45-54,male,de,higher-vocational,eligible,Für sinnvolle AI-Applikationen wie diese gebe ich meine Daten gerne. Zumal diese nicht sehr persönlich sind. 
84,C,de-DE,chatbot,,,,,,,,,,,,,,,,
85,B,en-US,complete,1.0,,6.0,6.0,5.0,6.0,1.0,1.0,4.0,voting,45-54,male,other,university,eligible,
86,C,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",2.0,4.0,5.0,5.0,5.0,4.0,3.0,voting,25-34,male,de,university,eligible,whether it was anonymised or not
87,D,en-AU,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'until-fulfilled'}",5.0,4.0,5.0,5.0,5.0,4.0,4.0,voting,35-44,female,en,university,not-eligible,
88,A,en-US,chatbot,,,,,,,,,,,,,,,,
89,B,en-US,complete,1.0,,6.0,6.0,6.0,6.0,1.0,1.0,3.0,voting,25-34,male,de,university,eligible,Them asking and me feeling like I am making a contribution.
90,D,en-US,chatbot,,,,,,,,,,,,,,,,
91,C,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': '1year'}",5.0,5.0,5.0,5.0,2.0,3.0,3.0,voting,35-44,male,fr,applied-sciences,eligible,"I was surprised and liked the fact I could choose not to give my data for commercial purposes.
What was missing is the brand from whom those questions come from.
I'd of course trust more that my choices are implemented correctly if this would be a federal bureau asking than a private company"
92,A,de-DE,survey,1.0,,,,,,,,,,,,,,,
93,A,en-GB,survey,1.0,,,,,,,,,,,,,,,
94,B,de-DE,complete,1.0,,6.0,3.0,2.0,2.0,1.0,2.0,5.0,voting,45-54,male,de,applied-sciences,eligible,
95,D,de-CH,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,4.0,3.0,5.0,5.0,6.0,6.0,voting,35-44,male,de,university,eligible,
96,C,en-US,chatbot,,,,,,,,,,,,,,,,
97,A,en-US,chatbot,,,,,,,,,,,,,,,,
98,D,de,complete,1.0,"{'scope': 'questions-only', 'purpose': 'commercial', 'storage': 'swiss', 'retention': 'until-fulfilled'}",6.0,4.0,5.0,5.0,3.0,4.0,6.0,voting,55-64,female,de,applied-sciences,eligible,
99,B,de,complete,1.0,,5.0,5.0,5.0,6.0,4.0,4.0,3.0,voting,45-54,female,de,applied-sciences,eligible,Meine Fragen waren sehr allgemein gehalten und haben absolut keine persönlichen Daten von mir beinhaltet.
100,C,fr-FR,chatbot,,,,,,,,,,,,,,,,
101,C,de-CH,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': '1year'}",5.0,4.0,3.0,4.0,4.0,3.0,6.0,voting,18-24,female,de,matura,eligible,Möchte einer sinnvollen Entwicklung beitragen
102,B,en-US,chatbot,,,,,,,,,,,,,,,,
103,D,de-DE,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': '1year'}",4.0,3.0,5.0,5.0,4.0,4.0,3.0,voting,35-44,female,de,university,eligible,Das ich den zweck bestimmen konnte
104,A,en-GB,complete,1.0,,5.0,5.0,5.0,5.0,4.0,4.0,4.0,voting,25-34,female,de,university,eligible,it's not sensitive data... the questions were very general. It's for research. 
105,D,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",5.0,4.0,5.0,5.0,2.0,3.0,5.0,voting,25-34,male,other,university,not-sure,
106,C,de,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",5.0,5.0,3.0,6.0,1.0,1.0,5.0,voting,55-64,male,de,applied-sciences,eligible,"Dass meine Fragen sehr offen und neutral waren :-)
Viel Glück"
107,B,es-ES,chatbot,,,,,,,,,,,,,,,,
108,A,es-ES,survey,1.0,,,,,,,,,,,,,,,
109,B,de-CH,chatbot,,,,,,,,,,,,,,,,
110,A,en-GB,complete,0.0,,4.0,4.0,3.0,3.0,4.0,4.0,5.0,voting,45-54,male,de,applied-sciences,eligible,
111,D,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': 'until-fulfilled'}",6.0,6.0,6.0,6.0,1.0,2.0,6.0,voting,25-34,female,de,university,not-eligible,link came from a trustworthy source; purpose is research 
112,C,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': '1year'}",6.0,5.0,5.0,5.0,4.0,3.0,4.0,voting,25-34,male,de,university,eligible,"I think I'd be more inclined to give data, if I actually knew which institutions would analyse them (e.g. I generally trust swiss universities)."
113,D,de-DE,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'no-preference', 'retention': 'until-fulfilled'}",6.0,5.0,4.0,6.0,2.0,2.0,5.0,voting,55-64,male,de,university,eligible,"Ich unterstütze (fast) jede Initiative, die die Demokratiefähigkeit der Schweizer Gesellschaft stützt oder steigert. Verlässliche, ausgewogene Information ist die wichtigste Ressource im politischen Prozess. Ein guter Bot kann die Befähigung steigern, sich schnell  und gut zu informieren. Die heutigen Wahlunterlagen sind, diplomatisch ausgedrückt, leider nicht zielgruppengerecht.."
114,A,en-US,survey,1.0,,,,,,,,,,,,,,,
115,B,de,complete,1.0,,5.0,4.0,4.0,4.0,2.0,4.0,2.0,voting,55-64,male,de,prefer-not-say,eligible,"Fair erscheinende Nutzungsinformation
Wenig kritische Daten, die ich eingegeben habe"
116,C,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': '1year'}",4.0,4.0,5.0,4.0,4.0,6.0,4.0,voting,25-34,female,de,university,eligible,
117,D,de-DE,complete,0.0,"{'scope': 'topics-only', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",6.0,6.0,3.0,6.0,4.0,5.0,3.0,voting,55-64,female,de,higher-vocational,eligible,
118,C,de,chatbot,,,,,,,,,,,,,,,,
119,A,en-US,chatbot,,,,,,,,,,,,,,,,
120,B,en-US,complete,1.0,,4.0,3.0,2.0,4.0,2.0,3.0,4.0,voting,25-34,male,fr,university,not-eligible,Science
121,D,en-US,chatbot,,,,,,,,,,,,,,,,
122,A,en-US,complete,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,4.0,voting,45-54,female,en,university,eligible,"Nothing personal in there anyhow. BTW the chatbot was pretty bad--offered misinformation, did not answer questions etc."
123,C,de-DE,complete,0.0,"{'scope': 'topics-only', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",6.0,6.0,6.0,6.0,3.0,5.0,4.0,voting,55-64,female,de,applied-sciences,eligible,
124,B,de-DE,consent,,,,,,,,,,,,,,,,
125,D,de-DE,chatbot,,,,,,,,,,,,,,,,
126,C,de,chatbot,,,,,,,,,,,,,,,,
127,B,de-CH,complete,0.0,,5.0,6.0,2.0,3.0,5.0,6.0,1.0,voting,55-64,female,de,matura,eligible,"Dass auch hinterfragen der Antworten in Betracht genommen werden. Eigentlich wollte ich Antworten über den EU-Vertrag, aber er antwortet auf eine andere Abstimmung. "
128,A,de-CH,chatbot,,,,,,,,,,,,,,,,
129,A,en-US,complete,1.0,,5.0,4.0,2.0,3.0,2.0,2.0,3.0,voting,25-34,male,it,university,not-eligible,
130,C,en-US,chatbot,,,,,,,,,,,,,,,,
131,B,en-US,complete,1.0,,6.0,6.0,6.0,6.0,6.0,6.0,1.0,dontremember,45-54,male,de,prefer-not-say,eligible,Did you store it or not?
132,D,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': 'until-fulfilled'}",4.0,3.0,6.0,6.0,4.0,4.0,3.0,voting,35-44,female,en,university,eligible,
133,D,de,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'until-fulfilled'}",3.0,5.0,2.0,5.0,5.0,2.0,6.0,voting,35-44,female,de,vocational,eligible,"Der Inhalt der Daten (keine Exponation, keine persönlichen Details und nicht beruhend auf meinem Wissen (nur zum Testen, irgendwas gefragt).
Die Quelle/Erklärung des Hostings bei Infomaniak und Apertus als LLM; also Open Source und in der Schweiz/EU datenschutzkonform von vertrauenswerter Quelle (aiLights). --> natürlich kann man das auch schreiben und dann under the hood OpenAI APIs ansprechen oder über Agent-Systems weiterführende Verarbeitung tätigen, die der Aussage nicht entspricht."
134,B,en,chatbot,,,,,,,,,,,,,,,,
135,A,en-GB,complete,1.0,,5.0,5.0,6.0,6.0,1.0,2.0,3.0,voting,35-44,male,de,university,eligible,
136,C,fr-FR,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': 'indefinite'}",6.0,6.0,6.0,6.0,6.0,6.0,4.0,voting,45-54,male,fr,university,not-eligible,Pour améliorer le processus de machin learning chez Apertus.
137,B,fr,complete,1.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,voting,45-54,female,fr,university,eligible,ma connaissance des initiateurs et de l'environnement technologique utilisé
138,A,en-US,complete,1.0,,5.0,5.0,1.0,5.0,2.0,1.0,1.0,voting,35-44,male,de,university,not-eligible,of course you can have the data from the chat. this is some random sit - i'd avoid dumping anything (too) personal or potentially damaging to me like the devil avoids holy water. 
139,C,de,chatbot,,,,,,,,,,,,,,,,
140,D,de-DE,complete,1.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,6.0,6.0,6.0,4.0,3.0,2.0,voting,45-54,male,de,university,eligible,Forschung supporten
141,C,de-DE,chatbot,,,,,,,,,,,,,,,,
142,D,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': '1year'}",4.0,4.0,5.0,5.0,4.0,5.0,4.0,voting,35-44,male,de,university,eligible,the choice and the options. Propably preferred again a full transparency on what info is shared (all questions / Anwers)
143,B,de-DE,complete,1.0,,5.0,4.0,4.0,5.0,3.0,5.0,6.0,voting,45-54,female,de,university,eligible,
144,A,it,chatbot,,,,,,,,,,,,,,,,
145,D,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",3.0,2.0,2.0,3.0,3.0,4.0,6.0,voting,25-34,male,de,university,eligible,i want to support research
146,A,en-US,complete,1.0,,6.0,5.0,6.0,5.0,2.0,1.0,6.0,voting,35-44,male,de,university,eligible,"Trust, anonymity but also a sense of ""for the broader good"""
147,C,de,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': 'until-fulfilled'}",4.0,3.0,2.0,5.0,1.0,4.0,5.0,voting,25-34,male,de,university,eligible,"Meine Fragen waren allgemein genug, dass ich nicht erwarte, dass dies auf mich zurückzuführen wäre."
148,B,de-CH,complete,1.0,,6.0,6.0,6.0,6.0,1.0,1.0,6.0,voting,45-54,male,de,applied-sciences,eligible,"anonymisierte Daten
ich habe keine persönlichkeitsrelevanten Fragen formuliert"
149,C,en-US,complete,0.0,"{'scope': 'full', 'purpose': 'commercial', 'storage': 'no-preference', 'retention': 'indefinite'}",6.0,6.0,6.0,6.0,1.0,1.0,6.0,voting,35-44,male,de,university,not-eligible,
150,D,de-DE,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': '6months'}",5.0,6.0,5.0,5.0,5.0,1.0,6.0,voting,25-34,female,de,applied-sciences,eligible,
151,A,en-US,complete,1.0,,5.0,4.0,5.0,5.0,2.0,4.0,6.0,voting,35-44,male,de,university,eligible,
152,B,en-GB,complete,0.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,immigration,18-24,female,other,mandatory,eligible,How it would affect me. If it would be good or bad for me
153,D,en-US,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss', 'retention': 'until-fulfilled'}",4.0,2.0,4.0,3.0,2.0,5.0,4.0,voting,18-24,male,en,matura,not-eligible,
154,B,en,survey,1.0,,,,,,,,,,,,,,,
155,C,en-US,chatbot,,,,,,,,,,,,,,,,
156,A,gsw,chatbot,,,,,,,,,,,,,,,,
157,A,en-US,complete,1.0,,2.0,2.0,4.0,3.0,2.0,2.0,2.0,voting,18-24,male,fr,university,eligible,
158,C,en-GB,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'no-preference', 'retention': 'until-fulfilled'}",4.0,6.0,3.0,5.0,1.0,1.0,3.0,voting,18-24,male,en,university,eligible,
159,D,de-DE,complete,1.0,"{'scope': 'full', 'purpose': 'academic', 'storage': 'swiss-or-eu', 'retention': '1year'}",5.0,5.0,5.0,5.0,6.0,6.0,1.0,voting,65+,male,de,university,eligible,Beitrag zur Verbesserung des Chatbots
160,B,de-DE,chatbot,,,,,,,,,,,,,,,,
161,A,en-US,complete,0.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,dontremember,65+,prefer-not-say,other,prefer-not-say,not-sure,Test TestingTime
162,C,de-DE,chatbot,,,,,,,,,,,,,,,,
163,B,de-DE,complete,1.0,,6.0,6.0,6.0,6.0,5.0,6.0,6.0,voting,35-44,male,de,higher-vocational,eligible,
164,D,de-DE,chatbot,,,,,,,,,,,,,,,,
165,C,de-DE,chatbot,,,,,,,,,,,,,,,,
166,A,en-US,complete,0.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,dontremember,35-44,other,other,prefer-not-say,not-sure,Test TestingTime
167,B,en-US,complete,0.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,immigration,18-24,female,de,mandatory,eligible,Test
168,D,en-US,complete,1.0,"{'scope': 'topics-only', 'purpose': 'academic', 'storage': 'no-preference', 'retention': 'indefinite'}",3.0,3.0,3.0,3.0,3.0,3.0,3.0,dontremember,65+,prefer-not-say,other,prefer-not-say,not-sure,Test TestingTime
169,A,en-GB,complete,1.0,,6.0,6.0,6.0,6.0,4.0,4.0,4.0,voting,35-44,female,de,university,eligible,
